ut	date	source	item_name	item_category	item_subcategory	unit_name	units	price	price_per_si_unit
1625543400	2021-07-06	cargills	Ariya Suduru Samba Rice	rice	Suduru	kg	1.0	395.0	395.0
1625543400	2021-07-06	cargills	Golden Crop White Suduru Rice	rice	Suduru	kg	5.0	1400.0	280.0
1625543400	2021-07-06	cargills	Ariya Pure Basmati Rice	rice	Basmati	kg	5.0	2970.0	594.0
1625543400	2021-07-06	cargills	Anchor Basmati Rice	rice	Basmati	kg	5.0	2950.0	590.0
1625543400	2021-07-06	cargills	Anchor Basmati Rice	rice	Basmati	kg	2.0	1250.0	625.0
1625543400	2021-07-06	cargills	Daawat Super Basmati Rice	rice	Basmati	kg	1.0	820.0	820.0
1625543400	2021-07-06	cargills	Kamatha Keeri Samba Rice	rice	Samba	kg	5.0	975.0	195.0
1625543400	2021-07-06	cargills	Tilda Premium Basmati Rice	rice	Basmati	kg	1.0	860.0	860.0
1625543400	2021-07-06	cargills	Araliya Premium Keeri Samba Rice	rice	Samba	kg	5.0	1050.0	210.0
1625543400	2021-07-06	cargills	Turkey Basmati Rice	rice	Basmati	kg	2.0	1290.0	645.0
1625543400	2021-07-06	cargills	Golden Crop Suwandel Rice	rice	Suwandel	kg	1.0	395.0	395.0
1625543400	2021-07-06	cargills	Cargills Kuruluthuda Rice	rice	Kuruluthuda	g	750.0	260.0	346.6666666666667
1625543400	2021-07-06	cargills	Ayu Rice Kalu Heenati	rice	Kalu Heeneti	kg	1.0	320.0	320.0
1625543400	2021-07-06	cargills	Sunbul Basmati Rice	rice	Basmati	kg	5.0	2990.0	598.0
1625543400	2021-07-06	cargills	Ayu Rice Pachchaperumal	rice	Pachchaperumal	kg	1.0	295.0	295.0
1625543400	2021-07-06	cargills	India Gate Excel Basmati Rice	rice	Basmati	kg	1.0	895.0	895.0
1625543400	2021-07-06	cargills	Tilda Extra Long Grain Basmati Rice	rice	Basmati	kg	5.0	4300.0	860.0
1625543400	2021-07-06	cargills	Tilda Pure Basmati Rice	rice	Basmati	kg	5.0	3995.0	799.0
1625543400	2021-07-06	cargills	Araliya Premium Keeri Samba Rice	rice	Samba	kg	10.0	2100.0	210.0
1625543400	2021-07-06	cargills	India Gate Exotic Basmati Rice	rice	Basmati	kg	5.0	4050.0	810.0
1625543400	2021-07-06	cargills	Tilda Extra Long Grain Basmati Rice	rice	Basmati	kg	1.0	895.0	895.0
1625543400	2021-07-06	cargills	Tilda Pure Basmati Rice	rice	Basmati	kg	1.0	845.0	845.0
1625543400	2021-07-06	cargills	India Gate Exotic Basmati Rice	rice	Basmati	kg	1.0	860.0	860.0
1625543400	2021-07-06	cargills	Tilda Premium Basmati Rice	rice	Basmati	kg	5.0	4050.0	810.0
1625543400	2021-07-06	cargills	Golden Crop Red Suduru Rice	rice	Suduru	kg	5.0	1300.0	260.0
1625543400	2021-07-06	cargills	India Gate Excel Basmati Rice	rice	Basmati	kg	5.0	4300.0	860.0
1625543400	2021-07-06	cargills	Golden Crop Keeri Samba Rice	rice	Samba	kg	5.0	675.0	135.0
1625543400	2021-07-06	cargills	Nipuna Keeri Samba Rice	rice	Samba	kg	5.0	1050.0	210.0
1625543400	2021-07-06	cargills	Araliya Premium Nadu Rice	rice	Nadu	kg	5.0	480.0	96.0
1625543400	2021-07-06	cargills	Nipuna Nadu Rice	rice	Nadu	kg	5.0	480.0	96.0
1625543400	2021-07-06	cargills	Araliya Premium Samba Rice	rice	Samba	kg	5.0	490.0	98.0
1625543400	2021-07-06	cargills	Nipuna Samba Rice	rice	Samba	kg	5.0	490.0	98.0
1625543400	2021-07-06	cargills	Cargills Ma Wee (Hangimuttan Rice)	rice	Ma Vee	g	750.0	260.0	346.6666666666667
1625543400	2021-07-06	cargills	Cargills Suwandel Rice	rice	Suwandel	g	750.0	295.0	393.3333333333333
1625543400	2021-07-06	cargills	Cargills Kalu Heeneti Rice	rice	Kalu Heeneti	g	750.0	260.0	346.6666666666667
1625543400	2021-07-06	cargills	Ayu Rice Suwandel	rice	Suwandel	kg	1.0	365.0	365.0
1625543400	2021-07-06	cargills	Ayu Rice Kuruluthuda	rice	Kuruluthuda	kg	1.0	320.0	320.0
1625543400	2021-07-06	cargills	Cargills Pachchaperumal Rice	rice	Pachchaperumal	g	750.0	255.0	340.0
1625543400	2021-07-06	cargills	Golden Crop Keeri Samba Raw Rice	rice	Samba	kg	5.0	675.0	135.0
1625543400	2021-07-06	cargills	Turkey Basmati Rice	rice	Basmati	kg	5.0	3750.0	750.0
1625543400	2021-07-06	cargills	Ayu Rice Ma Vee	rice	Ma Vee	kg	1.0	365.0	365.0
