ut	date	source	item_name	item_category	item_subcategory	unit_name	units	price	price_per_si_unit
1633829320	2021-10-10	cargills	Tess Mackerel	mackerel	Tinned Fish	g	425.0	360.0	847.0588235294117
1633829320	2021-10-10	cargills	Classic Mackerel	mackerel	Tinned Fish	g	425.0	360.0	847.0588235294117
1633829320	2021-10-10	cargills	Delmege Mackerel	mackerel	Tinned Fish	g	425.0	390.0	917.6470588235294
1633829320	2021-10-10	cargills	My Choice Mackerel	mackerel	Tinned Fish	g	425.0	250.0	588.2352941176471
